Datum,Autobahn_KFZ_Total,Autobahn_KFZ_Total_Rolling_Average_7_Days
2017-09-25,48566117,47925298.85714286
2017-09-26,47931043,47906490.28571428
2017-09-27,49343107,47911626.71428572
2017-09-28,51546972,48020297.28571428
2017-09-29,57955903,48450314.0
2017-09-30,46139090,48971106.428571425
2017-10-01,40061451,48791954.71428572
2017-10-02,43679146,48093816.0
2017-10-03,36914327,46519999.428571425
2017-10-04,50885484,46740339.0
2017-10-05,48590524,46317989.28571428
2017-10-06,53236057,45643725.571428575
2017-10-07,40891270,44894037.0
2017-10-08,39085928,44754676.571428575
2017-10-09,48128432,45390288.85714286
2017-10-10,47188618,46858044.71428572
2017-10-11,48722767,46549085.14285714
2017-10-12,50709834,46851843.71428572
2017-10-13,54314907,47005965.14285714
2017-10-14,42340353,47212977.0
2017-10-15,42414002,47688416.14285714
2017-10-16,48793578,47783437.0
2017-10-17,47994592,47898576.14285714
2017-10-18,49024477,47941677.571428575
2017-10-19,50690148,47938865.28571428
2017-10-20,53765035,47860312.14285714
2017-10-21,40430021,47587407.571428575
2017-10-22,37288997,46855264.0
2017-10-23,47842543,46719401.85714286
2017-10-24,47007903,46578446.28571428
2017-10-25,48703762,46532629.85714286
2017-10-26,50937301,46567937.428571425
2017-10-27,56773888,46997773.571428575
2017-10-28,46332586,47840997.14285714
2017-10-29,35474210,47581741.85714286
2017-10-30,44095120,47046395.71428572
2017-10-31,32829773,45020948.571428575
2017-11-01,40411905,43836397.571428575
2017-11-02,48352156,43467091.14285714
2017-11-03,50650496,42592320.85714286
2017-11-04,39471610,41612181.428571425
2017-11-05,36017815,41689839.28571428
2017-11-06,47125126,42122697.28571428
2017-11-07,46553457,44083223.571428575
2017-11-08,47259286,45061420.85714286
2017-11-09,48667263,45106436.14285714
2017-11-10,51239938,45190642.14285714
2017-11-11,35083791,44563810.85714286
2017-11-12,32626054,44079273.571428575
2017-11-13,46721149,44021562.571428575
2017-11-14,46556904,44022055.0
2017-11-15,47780902,44096571.571428575
2017-11-16,49305257,44187713.571428575
2017-11-17,52136896,44315850.428571425
2017-11-18,36773140,44557186.0
2017-11-19,33049384,44617661.71428572
2017-11-20,45989210,44513099.0
2017-11-21,45983187,44431139.428571425
2017-11-22,46839082,44296593.71428572
2017-11-23,48964149,44247864.0
2017-11-24,51763436,44194512.571428575
2017-11-25,35752485,44048704.71428572
2017-11-26,33037326,44046982.14285714
2017-11-27,46361078,44100106.14285714
2017-11-28,46064387,44111706.14285714
2017-11-29,47119052,44151701.85714286
2017-11-30,48921494,44145608.28571428
2017-12-01,51913212,44167004.85714286
2017-12-02,37248711,44380751.428571425
2017-12-03,33201697,44404233.0
2017-12-04,46212483,44383005.14285714
2017-12-05,46489733,44443768.85714286
2017-12-06,47443775,44490157.85714286
2017-12-07,49254497,44537729.71428572
2017-12-08,50772447,44374763.28571428
2017-12-09,35171634,44078038.0
2017-12-10,29895920,43605784.14285714
2017-12-11,45405297,43490471.85714286
2017-12-12,45841449,43397859.85714286
2017-12-13,46964183,43329346.71428572
2017-12-14,48738321,43255607.28571428
2017-12-15,51277318,43327731.71428572
2017-12-16,37935640,43722589.71428572
2017-12-17,32404945,44081021.85714286
2017-12-18,44406052,43938272.571428575
2017-12-19,46009334,43962256.14285714
2017-12-20,48082017,44121946.71428572
2017-12-21,49665209,44254359.28571428
2017-12-22,50018630,44074546.71428572
2017-12-23,38049061,44090749.71428572
2017-12-24,20630629,42408704.571428575
2017-12-25,28871785,40189523.571428575
2017-12-26,36418176,38819358.14285714
2017-12-27,41438627,37870302.428571425
2017-12-28,39774925,36457404.71428572
2017-12-29,40788696,35138842.71428572
2017-12-30,36299178,34888859.428571425
2017-12-31,17748711,34477156.85714286
2018-01-01,30735963,34743468.0
2018-01-02,48763425,36507075.0
2018-01-03,44654026,36966417.71428572
2018-01-04,46026436,37859490.71428572
2018-01-05,48748766,38996643.571428575
2018-01-06,42246459,39846255.14285714
2018-01-07,36510668,42526534.71428572
2018-01-08,48163584,45016194.85714286
2018-01-09,48417721,44966808.571428575
2018-01-10,49378502,45641733.71428572
2018-01-11,51123472,46369881.71428572
2018-01-12,53960070,47114353.71428572
2018-01-13,40243666,46828240.428571425
2018-01-14,34838404,46589345.571428575
2018-01-15,50507772,46924229.571428575
2018-01-16,49958727,47144373.28571428
2018-01-17,49541105,47167602.28571428
2018-01-18,50429270,47068430.571428575
2018-01-19,55711020,47318566.28571428
2018-01-20,39567881,47222025.571428575
2018-01-21,34710351,47203732.28571428
2018-01-22,49730523,47092696.71428572
2018-01-23,50872177,47223189.571428575
2018-01-24,52169878,47598728.571428575
2018-01-25,53800032,48080266.0
2018-01-26,56717722,48224080.571428575
2018-01-27,42826237,48689560.0
2018-01-28,36184915,48900212.0
2018-01-29,51421460,49141774.428571425
2018-01-30,51713242,49261926.571428575
2018-01-31,52657654,49331608.85714286
2018-02-01,53616528,49305394.0
2018-02-02,56327881,49249702.428571425
2018-02-03,42241095,49166110.71428572
2018-02-04,35377329,49050741.28571428
2018-02-05,50985381,48988444.28571428
2018-02-06,51169575,48910777.571428575
2018-02-07,52482981,48885824.28571428
2018-02-08,53068462,48807529.14285714
2018-02-09,57434742,48965652.14285714
2018-02-10,43354777,49124749.571428575
2018-02-11,32892912,48769832.85714286
2018-02-12,46035483,48062704.571428575
2018-02-13,49702620,47853139.571428575
2018-02-14,52546877,47862267.571428575
2018-02-15,51760404,47675402.14285714
2018-02-16,57155638,47635530.14285714
2018-02-17,43819255,47701884.14285714
2018-02-18,38914696,48562139.0
2018-02-19,51403536,49329003.71428572
2018-02-20,51476428,49582404.85714286
2018-02-21,52578560,49586931.0
2018-02-22,54017243,49909336.571428575
2018-02-23,58696114,50129404.571428575
2018-02-24,45449739,50362330.85714286
2018-02-25,38169232,50255836.0
2018-02-26,50765951,50164752.428571425
2018-02-27,50573413,50035750.28571428
2018-02-28,52323339,49999290.14285714
2018-03-01,53460670,49919779.71428572
2018-03-02,56222427,49566395.85714286
2018-03-03,44264636,49397095.428571425
2018-03-04,38896033,49500924.14285714
2018-03-05,51528142,49609808.571428575
2018-03-06,51612615,49758266.0
2018-03-07,52550156,49790668.428571425
2018-03-08,54645642,49959950.14285714
2018-03-09,57852472,50192813.71428572
2018-03-10,44897980,50283291.428571425
2018-03-11,40474477,50508783.428571425
2018-03-12,52680197,50673362.71428572
2018-03-13,52401890,50786116.28571428
2018-03-14,54316087,51038392.14285714
2018-03-15,56169938,51256148.71428572
2018-03-16,58085407,51289425.14285714
2018-03-17,43371840,51071405.14285714
2018-03-18,37609892,50662178.71428572
2018-03-19,53320531,50753655.0
2018-03-20,52920079,50827682.0
2018-03-21,54914175,50913123.14285714
2018-03-22,56105811,50903962.14285714
2018-03-23,60869459,51301683.85714286
2018-03-24,49700381,52205761.14285714
2018-03-25,41390323,52745822.71428572
2018-03-26,53863488,52823388.0
2018-03-27,53809884,52950503.0
2018-03-28,57013263,53250372.71428572
2018-03-29,63279562,54275194.28571428
2018-03-30,46053363,52158609.14285714
2018-03-31,43435536,51263631.28571428
2018-04-01,37557203,50716042.71428572
2018-04-02,48818708,49995359.85714286
2018-04-03,57128053,50469384.0
2018-04-04,55058455,50190125.71428572
2018-04-05,56217186,49181214.85714286
2018-04-06,59589985,51115018.0
2018-04-07,48071862,51777350.28571428
2018-04-08,44933836,52831155.0
2018-04-09,54952465,53707406.0
2018-04-10,54349023,53310401.71428572
2018-04-11,55714057,53404059.14285714
2018-04-12,57931609,53648976.71428572
2018-04-13,60111059,53723415.85714286
2018-04-14,44981670,53281959.85714286
2018-04-15,43066721,53015229.14285714
2018-04-16,55091795,53035133.428571425
2018-04-17,54816139,53101864.28571428
2018-04-18,55695791,53099254.85714286
2018-04-19,57706800,53067139.28571428
2018-04-20,60756408,53159332.0
2018-04-21,44429016,53080381.428571425
2018-04-22,43573572,53152788.71428572
2018-04-23,55368484,53192315.71428572
2018-04-24,55195226,53246471.0
2018-04-25,56728938,53394063.428571425
2018-04-26,59294958,53620943.14285714
2018-04-27,65506706,54299557.14285714
2018-04-28,50290822,55136958.0
2018-04-29,41621328,54858066.0
2018-04-30,49305260,53991891.14285714
2018-05-01,38653494,51628786.571428575
2018-05-02,57297526,51710013.428571425
2018-05-03,56507071,51311743.85714286
2018-05-04,60999710,50667887.28571428
2018-05-05,46573182,50136795.85714286
2018-05-06,44810320,50592366.14285714
2018-05-07,54937207,51396930.0
2018-05-08,55357946,53783280.28571428
2018-05-09,64106897,54756047.571428575
2018-05-10,39367822,52307583.428571425
2018-05-11,51268899,50917467.571428575
2018-05-12,45852967,50814579.71428572
2018-05-13,51658732,51792924.28571428
2018-05-14,56365308,51996938.71428572
2018-05-15,55188119,51972677.71428572
2018-05-16,55986067,50812559.14285714
2018-05-17,59236923,53651002.14285714
2018-05-18,65776956,55723581.71428572
2018-05-19,49035220,56178189.28571428
2018-05-20,39244286,54404697.0
2018-05-21,44900910,52766925.85714286
2018-05-22,57506034,53098056.571428575
2018-05-23,55389397,53012818.0
2018-05-24,56948142,52685849.28571428
2018-05-25,60475099,51928441.14285714
2018-05-26,46799367,51609033.571428575
2018-05-27,43407920,52203838.428571425
2018-05-28,54230332,53536613.0
2018-05-29,53859547,53015686.28571428
2018-05-30,60657216,53768231.85714286
2018-05-31,43396557,51832291.14285714
2018-06-01,53661613,50858936.0
2018-06-02,45664649,50696833.428571425
2018-06-03,49731149,51600151.85714286
2018-06-04,55827086,51828259.571428575
2018-06-05,54255409,51884811.28571428
2018-06-06,55134620,51095869.0
2018-06-07,57008977,53040500.428571425
2018-06-08,60961315,54083315.0
2018-06-09,45394438,54044713.428571425
2018-06-10,44709159,53327286.28571428
2018-06-11,54808536,53181779.14285714
2018-06-12,54552057,53224157.428571425
2018-06-13,56174932,53372773.428571425
2018-06-14,58329503,53561420.0
2018-06-15,61760198,53675546.14285714
2018-06-16,47299787,53947738.85714286
2018-06-17,45579177,54072027.14285714
2018-06-18,55826192,54217406.571428575
2018-06-19,54815897,54255098.0
2018-06-20,55788045,54199828.428571425
2018-06-21,58094750,54166292.28571428
2018-06-22,61946930,54192968.28571428
2018-06-23,46477656,54075521.0
2018-06-24,46665226,54230670.85714286
2018-06-25,55595661,54197737.85714286
2018-06-26,54509429,54153956.71428572
2018-06-27,53584419,53839153.0
2018-06-28,58476588,53893701.28571428
2018-06-29,62732256,54005890.71428572
2018-06-30,49634361,54456848.571428575
2018-07-01,49149721,54811776.428571425
2018-07-02,55501158,54798276.0
2018-07-03,53666106,54677801.28571428
2018-07-04,55276592,54919540.28571428
2018-07-05,57582145,54791762.71428572
2018-07-06,61292885,54586138.28571428
2018-07-07,48318242,54398121.28571428
2018-07-08,48670883,54329715.85714286
2018-07-09,55488900,54327964.71428572
2018-07-10,54142941,54396084.0
2018-07-11,55437358,54419050.571428575
2018-07-12,58327543,54525536.0
2018-07-13,62938746,54760659.0
2018-07-14,52250634,55322429.28571428
2018-07-15,48966342,55364637.71428572
2018-07-16,56022105,55440809.85714286
2018-07-17,54274161,55459555.571428575
2018-07-18,55949722,55532750.428571425
2018-07-19,58495387,55556728.14285714
2018-07-20,62341295,55471378.0
2018-07-21,51788237,55405321.28571428
2018-07-22,49902649,55539079.428571425
2018-07-23,56207863,55565616.28571428
2018-07-24,53937018,55517453.0
2018-07-25,55336129,55429796.85714286
2018-07-26,57878576,55341681.0
2018-07-27,61889097,55277081.28571428
2018-07-28,51459083,55230059.28571428
2018-07-29,50976360,55383446.571428575
2018-07-30,56614802,55441580.71428572
2018-07-31,54823511,55568222.571428575
2018-08-01,56156223,55685378.85714286
2018-08-02,58161272,55725764.0
2018-08-03,62236204,55775350.71428572
2018-08-04,52202793,55881595.0
2018-08-05,51640929,55976533.428571425
2018-08-06,55832063,55864713.571428575
2018-08-07,53568187,55685381.571428575
2018-08-08,55150527,55541710.71428572
2018-08-09,57076423,55386732.28571428
2018-08-10,62868129,55477007.28571428
2018-08-11,51268368,55343518.0
2018-08-12,50495570,55179895.28571428
2018-08-13,55071425,55071232.71428572
2018-08-14,54714578,55235002.85714286
2018-08-15,53941336,55062261.28571428
2018-08-16,56827365,55026681.571428575
2018-08-17,61153211,54781693.28571428
2018-08-18,50676126,54697087.28571428
2018-08-19,50771389,54736490.0
2018-08-20,55521974,54800854.14285714
